source,resolution,max_iter,scheme,p,lambda,speedup_bound
rowprofile_31391_res512_nmax5000.csv,512x512,5000,cyclic,5,1.003036,4.984864
rowprofile_31391_res512_nmax5000.csv,512x512,5000,dynamic,5,1.000000,5.000000
rowprofile_31391_res512_nmax5000.csv,512x512,5000,block,8,2.373943,3.369921
rowprofile_31391_res512_nmax5000.csv,512x512,5000,cyclic,8,1.002565,7.979535
rowprofile_31391_res512_nmax5000.csv,512x512,5000,dynamic,8,1.000000,8.000000
rowprofile_31391_res512_nmax5000.csv,512x512,5000,block,9,2.645765,3.401662
rowprofile_31391_res512_nmax5000.csv,512x512,5000,cyclic,9,1.004144,8.962860
rowprofile_31391_res512_nmax5000.csv,512x512,5000,dynamic,9,1.000000,9.000000
rowprofile_31391_res512_nmax5000.csv,512x512,5000,block,16,2.629790,6.084137
rowprofile_31391_res512_nmax5000.csv,512x512,5000,cyclic,16,1.011353,15.820389
rowprofile_31391_res512_nmax5000.csv,512x512,5000,dynamic,16,1.000000,16.000000
rowprofile_31391_res512_nmax5000.csv,512x512,5000,block,17,2.782084,6.110527
rowprofile_31391_res512_nmax5000.csv,512x512,5000,cyclic,17,1.009288,16.843556
rowprofile_31391_res512_nmax5000.csv,512x512,5000,dynamic,17,1.000000,17.000000
rowprofile_31391_res512_nmax5000.csv,512x512,5000,block,32,2.699565,11.853762
rowprofile_31391_res512_nmax5000.csv,512x512,5000,cyclic,32,1.018161,31.429222
rowprofile_31391_res512_nmax5000.csv,512x512,5000,dynamic,32,1.000000,32.000000
rowprofile_31391_res512_nmax5000.csv,512x512,5000,block,64,2.746770,23.300097
rowprofile_31391_res512_nmax5000.csv,512x512,5000,cyclic,64,1.062637,60.227534
rowprofile_31391_res512_nmax5000.csv,512x512,5000,dynamic,64,1.000000,64.000000
